chr1	121700000	123400000
chr1	123400000	125100000
chr1	125100000	143200000
chr10	38000000	39800000
chr10	39800000	41600000
chr11	51000000	53400000
chr11	53400000	55800000
chr12	33200000	35500000
chr12	35500000	37800000
chr13	0	4600000
chr13	10100000	16500000
chr13	16500000	17700000
chr13	17700000	18900000
chr14	0	3600000
chr14	8000000	16100000
chr14	16100000	17200000
chr14	17200000	18200000
chr15	0	4200000
chr15	9700000	17500000
chr15	17500000	19000000
chr15	19000000	20500000
chr16	35300000	36800000
chr16	36800000	38400000
chr16	38400000	47000000
chr17	22700000	25100000
chr17	25100000	27400000
chr18	15400000	18500000
chr18	18500000	21500000
chr19	19900000	24200000
chr19	24200000	26200000
chr19	26200000	28100000
chr19	28100000	31900000
chr2	91800000	93900000
chr2	93900000	96000000
chr20	25700000	28100000
chr20	28100000	30400000
chr21	0	3100000
chr21	7000000	10900000
chr21	10900000	12000000
chr21	12000000	13000000
chr22	0	4300000
chr22	9400000	13700000
chr22	13700000	15000000
chr22	15000000	17400000
chr3	87800000	90900000
chr3	90900000	94000000
chr3	94000000	98600000
chr4	48200000	50000000
chr4	50000000	51800000
chr5	46100000	48800000
chr5	48800000	51400000
chr6	58500000	59800000
chr6	59800000	62600000
chr7	58100000	60100000
chr7	60100000	62100000
chr8	43200000	45200000
chr8	45200000	47200000
chr9	42200000	43000000
chr9	43000000	45500000
chr9	45500000	61500000
chrX	58100000	61000000
chrX	61000000	63800000
chrY	10300000	10400000
chrY	10400000	10600000
chrY	26600000	57227415
